country,country_code,year,agriculture_tonnes,households_tonnes,construction_tonnes,manufacturing_tonnes,energy_tonnes,mining_tonnes,services_tonnes,total_waste_tonnes,population_millions,waste_per_capita_kg_year,waste_per_capita_kg_day
Spain,ESP,2006,15152405.0,24078308.0,47323390.0,22427334.0,7229469.0,26014628.0,,142225534.0,,,
Spain,ESP,2008,11355660.0,24431320.0,44926464.0,19368660.0,4872159.0,25716298.0,,130670561.0,,,
Spain,ESP,2010,5816630.0,23198184.0,37946524.0,16479926.0,2339062.0,31732304.0,,117512630.0,,,
Spain,ESP,2012,5496458.0,21224354.0,26129152.0,14594016.0,5772474.0,22509144.0,,95725598.0,,,
Spain,ESP,2014,5817439.0,20159648.0,20418072.0,14813850.0,5271536.0,18640872.0,,85121417.0,,,
Spain,ESP,2016,6271464.0,21689436.0,35827924.0,14269033.0,3874067.0,20299472.0,,102231396.0,,,
Spain,ESP,2018,6258251.0,22699262.0,38075988.0,13709387.0,3283472.0,23594440.0,,107620800.0,,,
Spain,ESP,2020,6330651.0,22509336.0,32542572.0,13150017.0,842775.0,2457752.0,,77833103.0,,,
Tunisia,TUN,2000,55000.0,1512000.0,,7200000.0,11900.0,,,8778900.0,,,
Tunisia,TUN,2001,,1529000.0,,7500000.0,12500.0,,,9041500.0,,,
Tunisia,TUN,2002,,1546000.0,,7820000.0,,,,9366000.0,,,
Tunisia,TUN,2003,,1554000.0,,7500000.0,,,,9054000.0,,,
Tunisia,TUN,2004,,1701000.0,2000000.0,,,,,3701000.0,,,
Tunisia,TUN,2007,,2200000.0,,,,,,2200000.0,,,
Tunisia,TUN,2012,,2400000.0,,,,,,2400000.0,,,
